	DEMAND	latitude	longitude	NODE_TYPE
4	0.0	4.58143	-74.09694	warehouse
5	326.7926573075241	4.60116841204114	-74.0877205301045	delivery_point
6	240.372858629705	4.594741	-74.091919	delivery_point
7	0.0	4.583549	-74.095351	warehouse
8	292.0381796283789	4.595307	-74.105222	delivery_point
9	186.19989935329062	4.598645	-74.089669	delivery_point
10	190.6728006447004	4.59992	-74.079962	delivery_point
11	186.28783680096183	4.733723	-74.027954	delivery_point
12	141.57814713128494	4.662537	-74.070281	delivery_point
13	126.4558867177391	4.677146	-74.066436	delivery_point
14	332.43423489528163	4.672669	-74.078501	delivery_point
15	90.27687802799889	4.66718	-74.06822	delivery_point
16	308.174890290437	4.68177	-74.06108	delivery_point
17	145.84265766759407	4.68231	-74.0734	delivery_point
18	300.98927581472503	4.682222	-74.063133	delivery_point
19	158.5261267651099	4.6630894	-74.0735911	delivery_point
20	272.07092825737715	4.6741367	-74.0860731	delivery_point
21	377.2511623073167	4.6543159	-74.0700957	delivery_point
22	203.1341820739416	4.6856782	-74.0726733	delivery_point
26	408.7730673621269	4.61221851722243	-74.2035597464007	delivery_point
31	237.35952074036257	4.60778550020372	-74.1982301257119	delivery_point
35	357.0502368197057	4.62728429852338	-74.1960939456529	delivery_point
43	326.8701895988959	4.5886561	-74.0760233	delivery_point
44	294.42208659513045	4.58657737025049	-74.0751930073536	delivery_point
45	2.3550095414617545	4.59274161247767	-74.0786459168177	delivery_point
46	208.68132655381248	4.5997768	-74.0731549	delivery_point
47	250.9188287952257	4.59360687200444	-74.0699446945879	delivery_point
48	0.0	4.58705991511683	-74.0825572947124	warehouse
50	418.7237465041059	4.67846178851254	-74.1480338936401	delivery_point
51	150.8628586729025	4.59630111217246	-74.071865501066	delivery_point
52	188.33622924688666	4.597317	-74.0747542	delivery_point
53	96.31947860897694	4.59604413431315	-74.0718116068181	delivery_point
54	340.2535042729651	4.59587251343711	-74.0694768470717	delivery_point
55	388.14018983078927	4.5927267	-74.0714734	delivery_point
56	306.03729854849934	4.69522923964839	-74.0969766680514	delivery_point
57	0.0	4.57437375667623	-74.1745412422762	charging_station
58	123.85384897941034	4.62819337771199	-74.0724149958554	delivery_point
59	256.84185714595804	4.65061327340052	-74.0544504186651	delivery_point
60	288.60711824228224	4.66211037416536	-74.069409980774	delivery_point
62	168.25805718679197	4.67132426738067	-74.0435632452185	delivery_point
63	258.5599764777016	4.64690967445379	-74.0610730317269	delivery_point
64	160.38548613573647	4.64853	-74.07507	delivery_point
65	148.56873946294786	4.6508111187404	-74.0562784587103	delivery_point
66	179.48118487572754	4.63887427677364	-74.0648486028908	delivery_point
67	388.74882872801163	4.65179997303999	-74.0763564317268	delivery_point
68	278.4545743395126	4.63850176428031	-74.0781963470712	delivery_point
69	144.5285852182314	4.63850176428031	-74.0781963470712	delivery_point
70	113.03708188620227	4.63850176428031	-74.0781963470712	delivery_point
71	143.58580164009186	4.63740194004553	-74.0610284740546	delivery_point
73	138.3653059501726	4.67093519466858	-74.0712204298742	delivery_point
74	264.2564467624151	4.62838597979568	-74.0859291875463	delivery_point
75	211.4053948270723	4.60122939906589	-74.0721805317269	delivery_point
76	217.551788485916	4.63743402118381	-74.0609855587103	delivery_point
77	76.75444748872567	4.54966160722963	-74.152219389399	delivery_point
78	350.80672242256446	4.66867264787466	-74.0234258317268	delivery_point
79	309.70690309996274	4.65304505311715	-74.0605451163825	delivery_point
80	42.42713943705061	4.66226791672301	-74.0509378759072	delivery_point
83	0.0	4.57199370122813	-74.1644668740547	charging_station
84	0.0	4.58673396964682	-74.1016017587104	charging_station
85	142.91230658435782	4.57963773707633	-74.0938762163825	delivery_point
86	0.0	4.55512	-74.14809	charging_station
87	0.0	4.53975	-74.14616	charging_station
88	0.0	4.59445	-74.12015	charging_station
89	0.0	4.6583185909577	-74.0645797028907	charging_station
90	0.0	4.5669663339397	-74.1689852605629	charging_station
91	0.0	4.54557411323263	-74.1401520470712	charging_station
94	0.0	4.58013999360919	-74.1792612010381	charging_station
95	0.0	4.68346886384852	-74.0594560028907	charging_station
96	0.0	4.54494892318819	-74.1461189605629	charging_station
97	0.0	4.548787	-74.140041	charging_station
98	0.0	4.548787	-74.140041	charging_station
99	0.0	4.531738	-74.167628	charging_station
100	0.0	4.548681	-74.139787	charging_station
101	0.0	4.592436	-74.175242	charging_station
102	0.0	4.574348	-74.150003	charging_station
103	0.0	4.576285	-74.171921	charging_station
104	0.0	4.562836	-74.147738	charging_station
105	178.21175430085808	4.581352	-74.169573	delivery_point
106	0.0	4.538745	-74.148385	charging_station
107	0.0	4.544639	-74.160982	charging_station
108	0.0	4.55227	-74.158491	charging_station
109	0.0	4.55361	-74.146428	charging_station
110	0.0	4.666072	-74.059391	charging_station
111	0.0	4.5739	-74.161629	charging_station
112	0.0	4.53839	-74.137059	charging_station
113	0.0	4.54211	-74.139108	warehouse
114	221.88268613160974	4.561627	-74.143721	delivery_point
115	0.0	4.565702	-74.148635	charging_station
116	331.7731703419328	4.576094	-74.136221	delivery_point
117	0.0	4.507148	-74.144534	charging_station
118	0.0	4.549681	-74.164942	charging_station
120	0.0	4.568874	-74.163622	charging_station
121	0.0	4.533085	-74.144488	charging_station
122	0.0	4.567363	-74.170797	charging_station
123	0.0	4.515485	-74.119584	charging_station
124	0.0	4.538388	-74.137059	warehouse
125	0.0	4.555876	-74.142592	warehouse
127	0.0	4.576686	-74.172146	charging_station
128	0.0	4.550188	-74.142111	charging_station
129	431.221373931474	4.542432	-74.138502	delivery_point
130	0.0	4.569831	-74.163533	charging_station
131	0.0	4.587493	-74.156223	charging_station
132	0.0	4.556052	-74.143624	charging_station
133	0.0	4.571718	-74.164189	charging_station
134	0.0	4.617364	-74.148158	charging_station
135	0.0	4.600111	-74.086438	charging_station
136	0.0	4.509303	-74.11017	charging_station
137	0.0	4.554554	-74.142998	charging_station
139	85.84854397380491	4.5844754	-74.1593461	delivery_point
141	169.98240025275447	4.5726382	-74.1709965	delivery_point
142	0.0	4.5415855	-74.1624523	charging_station
143	0.0	4.5747613	-74.1586981	charging_station
144	0.0	4.5600986	-74.1419427	charging_station
145	0.0	4.6070297	-74.2041025	charging_station
149	244.47974513745507	4.639753	-74.1682081	delivery_point
152	279.58890795402596	4.7118717	-74.1008184	delivery_point
153	81.3280049626081	4.6672996	-74.0563696	delivery_point
154	168.8650741999147	4.701471	-74.0968875	delivery_point
155	342.9207365395592	4.7010664	-74.0690094	delivery_point
156	221.7117397358408	4.7068767	-74.127835	delivery_point
158	65.49644866019824	4.6899311	-74.0970692	delivery_point
159	141.02622335752415	4.6643934	-74.1051502	delivery_point
160	206.1236336558527	4.6643934	-74.1051502	delivery_point
161	455.7132758582171	4.6693301	-74.0984687	delivery_point
162	-0.7468234200619293	4.7180382	-74.1373234	delivery_point
163	250.78526741281814	4.7527485	-74.1342364	delivery_point
164	171.67710919032356	4.6865426	-74.0822725	delivery_point
166	184.2835564319828	4.6907385	-74.086677	delivery_point
167	431.81406472463345	4.6697437	-74.1036432	delivery_point
169	341.9881475961942	4.671808	-73.99771	delivery_point
170	219.7646663960804	4.7076384	-74.1046111	delivery_point
172	185.22576927797857	4.7011357	-74.1101629	delivery_point
173	367.10544738449653	4.6999926	-74.1255565	delivery_point
174	153.25252678594012	4.6944886	-74.089332	delivery_point
176	235.2722914253549	4.7148549	-74.1044666	delivery_point
177	0.0	4.6792239	-74.1100368	warehouse
178	281.5557256649578	4.6787006	-74.0929104	delivery_point
180	341.8506423766255	4.62765478668079	-74.078080353	delivery_point
181	336.0501468776001	4.68356168057896	-74.132086003	delivery_point
183	0.0	4.69296713014783	-74.1723109425913	warehouse
186	191.99199696576113	4.64760125495714	-74.1729809917466	delivery_point
187	392.48703126785773	4.67159504114539	-74.1188288949631	delivery_point
188	59.17806580375719	4.63524024033512	-74.1491183168746	delivery_point
194	0.0	4.55759748084429	-74.0991662381471	warehouse
196	89.72962823999887	4.57801506189112	-74.109321945711	delivery_point
198	384.62829047672415	4.72139137560692	-74.0954557612879	delivery_point
201	0.0	4.62612903156036	-74.1278971457109	warehouse
202	121.71425453437007	4.6281201368892	-74.1437867745472	delivery_point
209	124.31274442577087	4.6263946	-74.1662802	delivery_point
210	153.98550217087637	4.623515	-74.1570374	delivery_point
211	271.1292775845943	4.6356743	-74.1643744	delivery_point
212	0.0	4.6160408	-74.1786873	warehouse
213	241.39595330535835	4.6397885	-74.1687867	delivery_point
214	276.63656442360457	4.6315243	-74.1669568	delivery_point
216	195.37900764145337	4.5905976	-74.0757916	delivery_point
217	268.1218391689034	4.6092309	-74.1733104	delivery_point
218	378.5539970245789	4.6223871	-74.1527421	delivery_point
219	274.9047212348361	4.6275599	-74.1680059	delivery_point
223	130.73447433388327	4.62436	-74.147338	delivery_point
224	341.2745269019812	4.6399494	-74.138262	delivery_point
225	325.33137479838416	4.6281493	-74.1466222	delivery_point
226	126.57199170008374	4.6082071	-74.1315133	delivery_point
227	215.09481274006438	4.6399494	-74.138262	delivery_point
228	300.3823519932247	4.6190915	-74.1377363	delivery_point
229	298.48061866581145	4.5234607	-74.123374	delivery_point
231	291.3761815615954	4.5560899	-74.0974508	delivery_point
232	0.0	4.5847935	-74.1014924	warehouse
233	502.1214124808372	4.6824626	-74.0616579	delivery_point
234	347.599631883308	4.7474938	-74.0267238	delivery_point
235	278.1388974490552	4.6545612	-74.0639101	delivery_point
236	0.0	4.5433901	-74.1449525	charging_station
237	106.28697107049807	4.6901945	-74.0706999	delivery_point
238	148.1103959565394	4.5540285	-74.0989822	delivery_point
239	164.16652723203595	4.7193792	-74.0890348	delivery_point
241	235.16398784577927	4.5003465	-74.1068579	delivery_point
242	149.47255296301125	4.5166655	-74.1210078	delivery_point
244	0.0	4.5905355	-74.1764762	charging_station
245	0.0	4.5747306	-74.1710618	charging_station
246	333.86451705024547	4.67951	-74.0542331	delivery_point
247	131.41804070163278	4.5917811	-74.0959045	delivery_point
248	241.0960105803438	4.5877564	-74.0795683	delivery_point
251	267.9757540913717	4.7170009	-74.0725631	delivery_point
252	0.0	4.5725336	-74.1088915	warehouse
253	198.77418182132877	4.5634633	-74.1364389	delivery_point
255	174.21492303750898	4.5585982	-74.0957019	delivery_point
256	121.20693001336522	4.5961621	-74.1021645	delivery_point
259	245.00232787141599	4.7012209	-74.1312984	delivery_point
261	278.57220012287536	4.6297241	-74.1464699	delivery_point
263	205.59638577788357	4.5815946	-74.0780422	delivery_point
264	405.31016011424583	4.595464	-74.0997825	delivery_point
265	196.2356851274282	4.5962837	-74.1023628	delivery_point
266	169.448750536435	4.6135039	-74.0790421	delivery_point
268	314.98877626138346	4.6103597	-74.0782842	delivery_point
269	265.10120495401213	4.6204552	-74.0826546	delivery_point
270	407.5538111981855	4.5965885	-74.0958922	delivery_point
271	314.97014997244173	4.6085356	-74.0948147	delivery_point
272	233.69240960934894	4.6084276	-74.0946825	delivery_point
273	323.3829358668573	4.6078844	-74.0921343	delivery_point
274	311.926297537366	4.7383312	-74.0595752	delivery_point
278	87.0389625334897	4.5556347	-74.1366647	delivery_point
279	65.41036673458882	4.702861	-74.0898362	delivery_point
280	262.5617472193987	4.7072916	-74.0918205	delivery_point
281	246.50474615658567	4.6647516	-74.1259784	delivery_point
282	146.0073634629513	4.5559496	-74.1191973	delivery_point
283	0.0	4.546416	-74.0806271	warehouse
286	238.50874633255447	4.586181	-74.0753235	delivery_point
289	310.81585697402414	4.5971079	-74.1191921	delivery_point
290	241.5779967955592	4.7337748	-74.0456092	delivery_point
292	111.39741793087634	4.6648576	-74.1062629	delivery_point
295	360.371476159713	4.6744585	-74.1067217	delivery_point
296	211.2503697246372	4.67222	-74.1032479	delivery_point
297	190.7980967177115	4.6250332	-74.1454398	delivery_point
298	117.20776185695425	4.6224046	-74.1638721	delivery_point
301	173.63299411850633	4.4783381	-74.1236634	delivery_point
302	251.10443038789506	4.6360299	-74.0715374	delivery_point
303	0.0	4.5450766	-74.1612213	charging_station
304	0.0	4.54929	-74.1602	charging_station
305	0.0	4.55159	-74.15941	charging_station
306	310.6660002557536	4.6446623	-74.1706204	delivery_point
307	260.7865643618587	4.6561067	-74.0640225	delivery_point
309	205.2631561274126	4.5865216	-74.0889986	delivery_point
310	101.42688000647829	4.7355056	-74.0966914	delivery_point
312	20.79938015188435	4.71611695165287	-74.0552438032671	delivery_point
313	249.70955635902948	4.60610176759018	-74.112294960939	delivery_point
314	80.65449346655114	4.63020935957825	-74.0813153609391	delivery_point
315	88.17275497639812	4.61989577546574	-74.1016721232703	delivery_point
316	237.3242535583128	4.6129895611495	-74.0989777897749	delivery_point
317	432.40784942105546	4.62445712356478	-74.0916605032672	delivery_point
319	343.6006115319734	4.58056689893362	-74.1230425609391	delivery_point
320	0.0	4.57717426439896	-74.1198805321032	warehouse
321	242.96726378018576	4.59273178961598	-74.1430882979198	delivery_point
324	380.6946865439754	4.5818340312817	-74.1154568321033	delivery_point
326	216.28099110686713	4.56110486070839	-74.1105907321032	delivery_point
327	0.0	4.526434445831	-74.1189943609391	warehouse
328	0.0	4.54583295822614	-74.1128018944362	warehouse
330	378.2506047545339	4.5816400531017	-74.1178044609391	delivery_point
336	418.05566444586145	4.57676505906202	-74.1013016744314	delivery_point
337	129.43420129118493	4.58702888561864	-74.1061469455954	delivery_point
338	366.94013631650387	4.6453246	-74.1682528	delivery_point
339	309.5040635481885	4.620472	-74.082654	delivery_point
340	0.0	4.6087214	-74.356028	charging_station
341	188.836643483369	4.5631518	-74.0884502	delivery_point
342	0.0	4.5907734	-74.0799226	warehouse
343	320.34103573191584	4.5294116	-74.0879346	delivery_point
344	169.0031545411828	4.5843001	-74.0869715	delivery_point
345	0.0	4.6045658	-74.073102	warehouse
346	247.032971963365	4.579313	-74.0848727	delivery_point
347	0.0	4.5843467	-74.0836437	warehouse
348	0.0	4.5558783	-74.0891932	warehouse
349	0.0	4.557519	-74.1000266	warehouse
350	342.48095422041877	4.6184904	-74.0637583	delivery_point
351	0.0	4.5617109	-74.0754443	warehouse
352	130.72561376701324	4.548172	-74.0957543	delivery_point
353	284.99436472505795	4.548172	-74.0957543	delivery_point
354	0.0	4.5375788	-74.0822189	warehouse
355	0.0	4.5269058	-74.090919	warehouse
356	184.97466209301362	4.5623657	-74.1039338	delivery_point
357	0.0	4.5653526	-74.0839845	warehouse
358	0.0	4.5918962	-74.0817317	warehouse
359	0.0	4.5612379	-74.0948541	warehouse
360	0.0	4.5455734	-74.0876949	warehouse
361	83.08482702324756	4.5484263	-74.1012326	delivery_point
362	0.0	4.5493496	-74.0937372	warehouse
363	165.12955723601323	4.5393395	-74.089365	delivery_point
364	0.0	4.56013817369214	-74.0894413317923	warehouse
365	0.0	4.5924531	-74.0948743	warehouse
366	0.0	4.5459186	-74.0987703	warehouse
367	0.0	4.5459666	-74.1140912	warehouse
368	0.0	4.6136649	-74.1189267	warehouse
369	101.49510580378089	4.5681416	-74.1117713	delivery_point
370	0.0	4.5682317	-74.1446023	warehouse
371	346.7388298197054	4.7370049	-74.0941354	delivery_point
372	0.0	4.5472173	-74.0911162	warehouse
373	173.75378335822282	4.6121581	-74.0730933	delivery_point
374	243.18291263253872	4.7731175	-74.0642148	delivery_point
375	0.0	4.5625991	-74.1523942	charging_station
376	201.54338021854923	4.6771789	-74.0662342	delivery_point
377	208.01014624231755	4.6771789	-74.0662342	delivery_point
378	342.9866052102874	4.5496954	-74.1021273	delivery_point
381	0.0	4.5780865	-74.2406871	charging_station
384	302.32565398343866	4.58983530199727	-74.0843399898298	delivery_point
385	433.3863524006102	4.61403710766182	-74.076722518665	delivery_point
387	314.12109492594186	4.61486779558533	-74.0779125475005	delivery_point
388	175.8415946851406	4.59290830121201	-74.0810962033237	delivery_point
389	277.2967067287516	4.58937149099431	-74.0817992033237	delivery_point
390	216.76096341117227	4.58905384109357	-74.0819877168176	delivery_point
391	333.8027508395071	4.61166223140423	-74.0730428211074	delivery_point
392	265.10787843051185	4.6176513888844	-74.0800956879822	delivery_point
393	356.9098735996751	4.61752869490173	-74.0640091033237	delivery_point
394	371.3445504339385	4.61205890811012	-74.0776547186651	delivery_point
395	191.15792725970923	4.60577215727389	-74.0666842898298	delivery_point
396	214.5854117053684	4.60561152742614	-74.0731754369753	delivery_point
397	168.43290326534697	4.58739604731541	-74.080129732159	delivery_point
398	181.69230464572468	4.61301998422797	-74.0779871609945	delivery_point
399	166.1330053170206	4.61442618382454	-74.0764971186651	delivery_point
400	217.57125487831752	4.58752605832631	-74.0742610744883	delivery_point
401	117.10845150855486	4.62203663928113	-74.0798821744883	delivery_point
402	157.0244066992057	4.59616767772875	-74.0980840033237	delivery_point
403	305.35538435773617	4.60580379791106	-74.0978767475004	delivery_point
404	344.5460611110271	4.60069985910691	-74.1016093591469	delivery_point
406	236.14847213954044	4.69175705433868	-74.0939298609943	delivery_point
407	285.0568323159386	4.65540369168613	-74.114908532159	delivery_point
408	384.4372413920873	4.65541438512599	-74.114908532159	delivery_point
409	295.76963339849897	4.6552379	-74.1170865	delivery_point
410	195.1063268584914	4.5920405	-74.0911297	delivery_point
414	0.0	4.5784741	-74.1722186	charging_station
417	425.7903725868413	4.6776	-74.0784	delivery_point
418	221.5605518928354	4.6776	-74.0784	delivery_point
423	290.3312582556295	4.57859	-74.179665	delivery_point
429	142.84523587196958	4.584355	-74.1846961	delivery_point
454	267.60260501444213	4.5897543	-74.2017031	delivery_point
458	123.24356271056837	4.6208677	-74.0663481	delivery_point
462	221.66697607618815	4.711544	-74.0563352	delivery_point
463	295.64373763663747	4.6673758	-74.0754073	delivery_point
465	387.40295485454067	4.734662	-74.1014816	delivery_point
466	258.2773065349596	4.7351567	-74.0533519	delivery_point
469	176.07420489605707	4.721880107	-74.06792116	delivery_point
470	341.5827741841355	4.734551706	-74.04581268	delivery_point
473	373.6785580157526	4.746959043	-74.07687195	delivery_point
474	190.41574000179577	4.760598136	-74.03105905	delivery_point
475	95.9053195894275	4.765450222	-74.06873854	delivery_point
476	239.19818669625738	4.765450222	-74.06873854	delivery_point
477	156.5885496211719	4.698109249	-74.06656706	delivery_point
478	393.68283815458176	4.733937466	-74.09761833	delivery_point
480	206.33065773353434	4.73794167	-74.07333531	delivery_point
481	0.0	4.703612573	-74.06181901	warehouse
482	310.34620314889196	4.757044335	-74.09873951	delivery_point
484	143.857013413302	4.564290188	-74.09040364	delivery_point
486	279.9555686293007	4.700748831	-74.07538628	delivery_point
487	220.24353157311327	4.758716784	-74.04721822	delivery_point
488	372.18904246456566	4.751023211	-74.10226641	delivery_point
489	142.6069401925012	4.730278166	-74.09298717	delivery_point
